ID	质控状态
2BT20080100068	PASS
2BT20080100083	PASS
2BT20080100108	PASS
2BT20080100112	PASS
2BT20080100115	PASS
2BT20080100122	PASS
2BT20080100123	PASS
2BT20080100125	PASS
2BT20080100130	PASS
2BT20080100131	PASS
2BT20080100134	PASS
2BT20080100135	PASS
2BT20080100149	PASS
2BT20080200027	PASS
2BT20080200029	PASS
2BT20080200048	PASS
2BT20080300001	PASS
2BT20080300006	PASS
2BT20220100008	PASS
2BT20220100010	PASS
2BT20220100011	PASS
2BT20220100013	PASS
2BT20220100014	PASS
2BT20220100015	PASS
2BT20220100018	PASS
2BT20220100022	PASS
2BT20220100024	PASS
2BT20220100025	PASS
2BT20220100028	PASS
2BT20220100029	PASS
2BT20220100032	PASS
2BT20220100036	PASS
2BT20220100040	PASS
2BT20220100047	PASS
2BT20220100048	PASS
2BT20220100050	PASS
2BT20220200002	PASS
2BT20220200003	PASS
2BT20220200004	PASS
2BT20220200005	PASS
2BT20220200009	PASS
2BT20220200011	PASS
2BT20220200012	PASS
2BT20220200014	PASS
2BT20220200015	PASS
2BT20220200016	PASS
2BT20220200019	PASS
2BT20220200020	PASS
2BT20220200022	PASS
2BT20220200025	PASS
2BT20220200027	PASS
2BT20220200032	PASS
2BT20220200035	PASS
2BT20220200036	PASS
2BT20220200037	PASS
2BT20220200038	PASS
2BT20220200040	PASS
2BT20220200042	PASS
2BT20220200045	PASS
2BT20220200047	PASS
2BT20220200049	PASS
2STC1204160032	PASS
2STC1204160042	PASS
2STC1204160056	PASS
2STC1204160098	PASS
2STC1204160149	PASS
2STC1204160150	PASS
2STC1204169647	PASS
2STC1204169660	PASS
2W111808160083	PASS
2W111808212730	PASS
2W111811583169	PASS
2W121808165387	PASS
2W151709221358	PASS
2W171811582233	PASS
2W181811581501	PASS
2W191809208890	PASS
2W211811573242	PASS
2W271811571835	PASS
2W281808198052	PASS
2W281811571781	PASS
2W291811573243	PASS
2W301811571558	PASS
2W311811580087	PASS
2W321811580207	PASS
2W331811581857	PASS
2W341811581922	PASS
2W351709241811	PASS
2W351811580069	PASS
2W381811583081	PASS
2W401811580186	PASS
2W411811583093	PASS
2W421811571286	PASS
2W451808160032	PASS
2W531810056723	PASS
2W531811581436	PASS
2W541808211818	PASS
2W551811571492	PASS
2W561811572824	PASS
2W581811571521	PASS
2W601808195980	PASS
2W611811580279	PASS
2W611811582625	PASS
2W621811571512	PASS
2W651709241968	PASS
2W651811582234	PASS
2W671811573282	PASS
2W681811571456	PASS
2W681811573174	PASS
2W681811585168	PASS
2W691811580296	PASS
2W701811583171	PASS
2W731811583317	PASS
2W741810055081	PASS
2W761811581182	PASS
2W771811571360	PASS
2W801810053552	PASS
2W801811571855	PASS
2W811808198136	PASS
2W861810055130	PASS
2W871808198054	PASS
2W891811582182	PASS
2W891811583150	PASS
2W901811571675	PASS
2W918115821350	PASS
2W931811573241	PASS
2W941811573181	PASS
2W951808198103	PASS
2W961811580512	PASS
2W981811583094	PASS
2WC12001020MM3	PASS
2WC12001020MM4	PASS
2WC12001020MM6	PASS
2WC12001020MM7	PASS
2WC12001020MM9	PASS
2WC1200102KLD5	PASS
2WC1200102MM13	PASS
2WC120010GL298	PASS
2WC120010GL302	PASS
2WC120010GL304	PASS
2WC120010GL306	PASS
2WC120010GL313	PASS
2WC120010GL319	PASS
2WC120010GL320	PASS
2WC120010KLD16	PASS
