ID	RG	CHIP_ID	#SNPS	#READS	AVG_DP	FREEMIX	FREELK1	FREELK0	FREE_RH	FREE_RA	CHIPMIX	CHIPLK1	CHIPLK0	CHIP_RH	CHIP_RA	DPREF	RDPHET	RDPALT
HG01857	NA	NA	10000	323777	32.3874	1.00209e-08	-78830.4	-78830.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01858	NA	NA	10000	330668	33.0701	3.27605e-08	-79901.2	-79901.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01859	NA	NA	10000	314417	31.4511	1.54364e-05	-75655.1	-98096.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01860	NA	NA	10000	320460	32.0588	3.08244e-08	-77677.8	-77677.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01861	NA	NA	10000	343709	34.3847	1.51354e-08	-81206.9	-129118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01862	NA	NA	10000	336299	33.6366	5.93008e-10	-79736.8	-126714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01863	NA	NA	10000	329481	32.9613	1.71962e-10	-80944.3	-181582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01864	NA	NA	10000	338994	33.8994	1.16754e-09	-81767.9	-140306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01865	NA	NA	10000	334945	33.5012	2.11617e-05	-81637.7	-100400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01866	NA	NA	10000	329262	32.9361	1.54767e-08	-78219.5	-124459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01867	NA	NA	10000	327264	32.7329	1.03032e-09	-78189.7	-173429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01868	NA	NA	10000	323162	32.3259	1.13032e-09	-76544.1	-160292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01869	NA	NA	10000	308663	30.8725	3.82332e-09	-78766.1	-135206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
