ID,优先纳入,PC,role,value
1139354,FIRST,4,Contaminating,-0.0109035
1139461,FIRST,1,Contaminating,-0.0147062
1139461,FIRST,2,Contaminating,-0.00556498
1139461,FIRST,3,Contaminating,-0.0234261
1139461,FIRST,4,Contaminating,-0.082084
1139606,FIRST,1,Contaminating,-2.90264
1139606,FIRST,2,Contaminating,-8.95561
1139606,FIRST,3,Contaminating,9.94364
1139606,FIRST,4,Contaminating,4.13065
1139929,FIRST,1,Contaminating,-0.0137477
1139929,FIRST,2,Contaminating,-0.0690652
1139929,FIRST,3,Contaminating,0.121402
1139929,FIRST,4,Contaminating,0.0373238
1139962,FIRST,1,Contaminating,-0.0289573
1139962,FIRST,2,Contaminating,-0.0421317
1139962,FIRST,3,Contaminating,0.00275433
1139962,FIRST,4,Contaminating,-0.00842802
1140048,FIRST,1,Contaminating,-0.0369421
1140048,FIRST,2,Contaminating,-0.0579905
1140048,FIRST,3,Contaminating,-0.0396837
1140048,FIRST,4,Contaminating,3.6e-05
1140464,FIRST,1,Contaminating,-0.0348398
1140464,FIRST,2,Contaminating,-0.0843807
1140464,FIRST,3,Contaminating,-0.0335344
1140464,FIRST,4,Contaminating,-0.0240764
1140557,FIRST,1,Contaminating,-0.15236
1140557,FIRST,2,Contaminating,0.0433367
1140557,FIRST,3,Contaminating,0.108091
1140557,FIRST,4,Contaminating,-0.240187
1196221,FIRST,1,Contaminating,-0.0351547
1196221,FIRST,2,Contaminating,0.00271673
1196221,FIRST,3,Contaminating,0.0728866
1196221,FIRST,4,Contaminating,0.118976
1196256,FIRST,1,Contaminating,-0.0207622
1196256,FIRST,2,Contaminating,-0.0487587
1196256,FIRST,3,Contaminating,0.00231701
1196256,FIRST,4,Contaminating,0.0221366
1196905,FIRST,1,Contaminating,0.00990766
1196905,FIRST,2,Contaminating,-0.0284231
1196905,FIRST,3,Contaminating,0.0371909
1196905,FIRST,4,Contaminating,-0.075215
1197024,FIRST,1,Contaminating,-0.0234152
1197024,FIRST,2,Contaminating,-0.0542654
1197024,FIRST,3,Contaminating,-0.0696822
1197024,FIRST,4,Contaminating,-0.0164783
1199393,FIRST,1,Contaminating,-0.00214834
1199393,FIRST,2,Contaminating,-0.0340702
1199393,FIRST,3,Contaminating,-0.0415381
1199393,FIRST,4,Contaminating,0.0403759
1199524,FIRST,1,Contaminating,1.77237
1199524,FIRST,2,Contaminating,0.24222
1199524,FIRST,3,Contaminating,-2.74676
1199524,FIRST,4,Contaminating,-2.26556
1199767,FIRST,1,Contaminating,-0.06813
1199767,FIRST,2,Contaminating,-0.0870259
1199767,FIRST,3,Contaminating,-0.0214709
1199767,FIRST,4,Contaminating,-0.102176
1199840,FIRST,1,Contaminating,-0.0299513
1199840,FIRST,2,Contaminating,0.0592859
1199840,FIRST,3,Contaminating,-0.043497
1199840,FIRST,4,Contaminating,0.233629
1200084,FIRST,1,Contaminating,-0.0092198
1200084,FIRST,2,Contaminating,-0.0324669
1200084,FIRST,3,Contaminating,0.198548
1200084,FIRST,4,Contaminating,-0.159853
1200524,FIRST,1,Contaminating,-0.0303683
1200524,FIRST,2,Contaminating,-0.118639
1200524,FIRST,3,Contaminating,0.029363
1200524,FIRST,4,Contaminating,0.472508
1200618,FIRST,1,Contaminating,-0.0281268
1200618,FIRST,2,Contaminating,-0.0399387
1200618,FIRST,3,Contaminating,0.00565679
1200618,FIRST,4,Contaminating,-0.00521252
1200709,FIRST,1,Contaminating,-0.0215087
1200709,FIRST,2,Contaminating,-0.0104672
1200709,FIRST,3,Contaminating,0.0100701
1200709,FIRST,4,Contaminating,-0.0174434
1200900,FIRST,1,Contaminating,-0.0117829
1200900,FIRST,2,Contaminating,-0.0617001
1200900,FIRST,3,Contaminating,0.0144054
1200900,FIRST,4,Contaminating,0.0220498
1201142,FIRST,1,Contaminating,-0.0182856
1201142,FIRST,2,Contaminating,-0.0358132
1201142,FIRST,3,Contaminating,-0.000748308
1201142,FIRST,4,Contaminating,-0.0061829
1201536,FIRST,1,Contaminating,0.00440525
1201536,FIRST,2,Contaminating,-0.0410627
1201536,FIRST,3,Contaminating,-0.0377337
1201536,FIRST,4,Contaminating,0.0372282
1201570,FIRST,1,Contaminating,-0.0201035
1201570,FIRST,2,Contaminating,-0.0340656
1201570,FIRST,3,Contaminating,-0.0104077
1201570,FIRST,4,Contaminating,0.0136527
1201606,FIRST,1,Contaminating,-0.0511732
1201606,FIRST,2,Contaminating,-0.138933
1201606,FIRST,3,Contaminating,0.0960832
1201606,FIRST,4,Contaminating,0.0505093
1201631,FIRST,1,Contaminating,-0.0393142
1201631,FIRST,2,Contaminating,-0.127945
1201631,FIRST,3,Contaminating,-0.0145443
1201631,FIRST,4,Contaminating,-0.0592269
1206666,FIRST,1,Contaminating,-0.0641146
1206666,FIRST,2,Contaminating,0.0155905
1206666,FIRST,3,Contaminating,-0.0521807
1206666,FIRST,4,Contaminating,-0.012909
1206844,FIRST,1,Contaminating,-2.35733
1206844,FIRST,2,Contaminating,-2.46862
1206844,FIRST,3,Contaminating,2.2966
1206844,FIRST,4,Contaminating,1.74125
1206992,FIRST,1,Contaminating,-0.0128845
1206992,FIRST,2,Contaminating,-0.126154
1206992,FIRST,3,Contaminating,-0.112967
1206992,FIRST,4,Contaminating,-0.260305
1207280,FIRST,1,Contaminating,-0.0323118
1207280,FIRST,2,Contaminating,-0.0572499
1207280,FIRST,3,Contaminating,-0.0346063
1207280,FIRST,4,Contaminating,-0.0488076
1207299,FIRST,1,Contaminating,0.120075
1207299,FIRST,2,Contaminating,-0.469396
1207299,FIRST,3,Contaminating,-0.209029
1207299,FIRST,4,Contaminating,0.106849
1207363,FIRST,1,Contaminating,-0.0147533
1207363,FIRST,2,Contaminating,-0.0143799
1207363,FIRST,3,Contaminating,0.0114484
1207363,FIRST,4,Contaminating,-0.0487105
1207950,FIRST,1,Contaminating,0.948465
1207950,FIRST,2,Contaminating,-0.281411
1207950,FIRST,3,Contaminating,0.277941
1207950,FIRST,4,Contaminating,-0.597568
1208122,FIRST,1,Contaminating,-0.0181954
1208122,FIRST,2,Contaminating,-0.0471363
1208122,FIRST,3,Contaminating,0.000415125
1208122,FIRST,4,Contaminating,-0.0192973
1208475,FIRST,1,Contaminating,-0.0211974
1208475,FIRST,2,Contaminating,-0.00752873
1208475,FIRST,3,Contaminating,-0.170076
1208475,FIRST,4,Contaminating,-0.00988871
1208781,FIRST,1,Contaminating,-0.0122414
1208781,FIRST,2,Contaminating,-0.0722799
1208781,FIRST,3,Contaminating,0.0847057
1208781,FIRST,4,Contaminating,0.0185711
1208821,FIRST,1,Contaminating,0.0214616
1208821,FIRST,2,Contaminating,-0.262448
1208821,FIRST,3,Contaminating,-0.502978
