ID,优先纳入,AVG_DP,FREEMIX,status
A200407,FIRST,38.0639,0.000160274,PASS
A200446,FIRST,37.6317,0.000120036,PASS
A200484,FIRST,36.875,0.000260649,PASS
A200497,FIRST,36.3474,0.000121219,PASS
A200501,FIRST,36.5356,0.00042589,PASS
A200579,FIRST,36.1655,0.00010693,PASS
A200608,FIRST,36.5953,0.000264893,PASS
A200660,FIRST,37.1646,0.000280515,PASS
A200668,FIRST,37.2579,0.000142313,PASS
A210032,FIRST,38.3607,0.000120712,PASS
A210091,FIRST,38.9687,0.000219221,PASS
A210110,FIRST,36.7327,0.000111505,PASS
A210150,FIRST,36.9732,5.23e-05,PASS
A210466,FIRST,37.6378,9.77e-05,PASS
A210540,FIRST,36.7758,0.000117214,PASS
A210585,FIRST,37.8617,0.000116583,PASS
A220029,FIRST,37.7055,0.000170643,PASS
A220039,FIRST,37.2368,0.000190732,PASS
A220075,FIRST,37.2529,0.000113644,PASS
A220153,FIRST,35.8091,0.000155503,PASS
A220248,FIRST,36.5748,0.000144022,PASS
A220333,FIRST,37.7554,0.000180045,PASS
A230016,FIRST,36.5837,0.000285825,PASS
A230058,FIRST,37.8902,0.000206108,PASS
A230109,FIRST,35.6859,0.00024636,PASS
A230151,FIRST,37.3533,0.000432477,PASS
A230238,FIRST,37.5347,0.000232099,PASS
ADD3hetero5_001,FIRST,43.2511,0.000114494,PASS
ADD3hetero6_001,FIRST,30.6232,0.000222393,PASS
ADD3homo7_001,FIRST,30.2776,0.000741853,PASS
BA106A,FIRST,42.73,8.14e-05,PASS
BA116A,FIRST,41.2428,0.000104424,PASS
BA116B,FIRST,41.2384,0.00201187,PASS
BA116C,FIRST,41.0374,0.00144548,PASS
BA119A,FIRST,27.2499,3.26e-05,PASS
BA119B,FIRST,27.8329,4.92e-05,PASS
BA119C,FIRST,28.1873,6.77e-09,PASS
BA127A,FIRST,42.4527,0.000266863,PASS
BA13A,FIRST,26.1338,4.55e-09,PASS
BA13B,FIRST,24.9752,4.12e-09,PASS
BA13C,FIRST,25.3538,1.54e-08,PASS
BA141A,FIRST,43.5115,0.00318964,PASS
BA141B,FIRST,42.1345,0.00134543,PASS
BA141C,FIRST,34.5631,0.00125696,PASS
BA176A,FIRST,43.5137,0.000503552,PASS
BA18A,FIRST,21.9578,2.51e-05,PASS
BA18B,FIRST,27.2241,4.34e-05,PASS
BA18C,FIRST,22.9925,3.5e-05,PASS
BA297A,FIRST,40.747,0.00163517,PASS
BA297B,FIRST,44.4416,0.0013132,PASS
BA297C,FIRST,42.4851,0.00130666,PASS
BA298A,FIRST,35.3355,1.05e-05,PASS
BA298B,FIRST,32.3717,7.79e-10,PASS
BA298C,FIRST,31.128,1.3e-08,PASS
BA304A,FIRST,28.4695,1.16e-08,PASS
BA304B,FIRST,28.3069,8.01e-05,PASS
BA304C,FIRST,28.4897,2.43e-05,PASS
BA3A,FIRST,37.1957,0.000387194,PASS
BA428A,FIRST,24.3315,0.000110028,PASS
BA428B,FIRST,26.037,2.17e-05,PASS
BA428C,FIRST,25.2614,4.9e-05,PASS
BA436A,FIRST,25.8384,4.02e-05,PASS
BA436B,FIRST,26.3202,5.61e-05,PASS
BA436C,FIRST,24.0313,5.12e-05,PASS
BA45A,FIRST,24.4701,1.43e-08,PASS
BA45B,FIRST,31.2164,3.6e-09,PASS
BA45C,FIRST,24.1003,6.94e-05,PASS
BA52A,FIRST,23.1563,6.5e-05,PASS
BA52B,FIRST,25.3955,5.88e-05,PASS
BA52C,FIRST,21.1443,7.66e-05,PASS
BA593A,FIRST,41.1748,0.000386077,PASS
BA593B,FIRST,35.7313,0.000842143,PASS
BA593C,FIRST,44.6931,0.00228356,PASS
BA597A,FIRST,22.621,5.78e-05,PASS
BA597B,FIRST,27.4983,3.19e-05,PASS
BA597C,FIRST,27.8515,2.27e-08,PASS
BA59A,FIRST,34.6652,1.72e-05,PASS
BA59B,FIRST,32.6164,3.73e-09,PASS
BA59C,FIRST,27.5522,2.04e-09,PASS
BA60A,FIRST,23.839,9.49e-08,PASS
BA60B,FIRST,22.5044,4.52e-05,PASS
BA60C,FIRST,25.5004,0.000173404,PASS
BA612A,FIRST,29.7006,2.36e-05,PASS
BA612B,FIRST,29.862,7.84e-10,PASS
BA612C,FIRST,30.2715,3.51e-05,PASS
BA615A,FIRST,27.4977,5.01e-10,PASS
BA615B,FIRST,27.4161,5.46e-09,PASS
BA615C,FIRST,29.5491,2.06e-05,PASS
BA616A,FIRST,25.6537,2.23e-05,PASS
BA616B,FIRST,23.6796,4.22e-05,PASS
BA616C,FIRST,30.4046,1.74e-09,PASS
BA618A,FIRST,35.422,2.46e-12,PASS
BA618B,FIRST,35.5362,1.93e-05,PASS
BA618C,FIRST,30.5619,1.1e-05,PASS
BA619A,FIRST,29.4427,2.57e-08,PASS
BA619B,FIRST,27.8095,2.4e-10,PASS
BA619C,FIRST,26.74,1.63e-08,PASS
BA620A,FIRST,28.5376,1.98e-08,PASS
BA620B,FIRST,35.0179,1.78e-05,PASS
BA620C,FIRST,28.8907,1.72e-05,PASS
BA640A,FIRST,31.6849,0.00018117,PASS
BA640B,FIRST,44.5236,0.00316024,PASS
BA640C,FIRST,33.2733,0.000417572,PASS
BA644A,FIRST,34.6857,0.00227239,PASS
BA644B,FIRST,40.4234,0.000127932,PASS
BA644C,FIRST,32.2957,0.000249808,PASS
BA652A,FIRST,26.4101,2.87e-08,PASS
BA652B,FIRST,26.0928,6e-09,PASS
BA652C,FIRST,24.0443,2.26e-09,PASS
BA653A,FIRST,31.8474,2.6e-08,PASS
BA653B,FIRST,28.6635,2.74e-09,PASS
BA653C,FIRST,34.5227,1.46e-09,PASS
BA654A,FIRST,33.2925,3.49e-09,PASS
BA654B,FIRST,32.0142,1.28e-08,PASS
BA654C,FIRST,29.3629,2.07e-09,PASS
BA657A,FIRST,21.9833,4.69e-05,PASS
BA657B,FIRST,23.6425,3.39e-05,PASS
BA657C,FIRST,25.4654,7.13e-05,PASS
BA658A,FIRST,38.286,2.22e-05,PASS
BA658B,FIRST,33.7074,1.19e-08,PASS
BA658C,FIRST,34.1287,1.87e-05,PASS
BA659A,FIRST,32.7822,2.22e-05,PASS
BA659B,FIRST,33.9414,6.86e-10,PASS
BA659C,FIRST,35.4167,9.57e-09,PASS
BA660A,FIRST,31.9326,1.85e-05,PASS
BA660B,FIRST,29.0138,2.24e-08,PASS
BA660C,FIRST,35.1688,9.99e-10,PASS
BA662A,FIRST,31.0189,8.35e-10,PASS
BA662B,FIRST,30.4682,1.95e-09,PASS
BA662C,FIRST,31.5076,1.74e-09,PASS
BA663A,FIRST,35.7553,1.59e-05,PASS
BA663B,FIRST,30.6083,9.2e-09,PASS
BA663C,FIRST,29.3006,4.09e-09,PASS
BA666A,FIRST,32.1416,1.17e-05,PASS
BA666B,FIRST,28.9806,1.23e-09,PASS
BA666C,FIRST,36.7537,1.96e-05,PASS
BA667A,FIRST,30.2148,2.24e-09,PASS
BA667B,FIRST,30.5486,3.64e-08,PASS
BA667C,FIRST,32.8746,2.48e-08,PASS
BA668A,FIRST,33.295,2.53e-05,PASS
BA668B,FIRST,34.453,1.48e-05,PASS
BA668C,FIRST,37.5578,8.85e-10,PASS
BA669A,FIRST,34.9183,2.45e-05,PASS
BA669B,FIRST,34.6318,1.82e-05,PASS
BA669C,FIRST,33.9678,2.56e-09,PASS
BA671A,FIRST,31.5207,3.67e-09,PASS
BA671B,FIRST,37.5276,1.22e-11,PASS
BA671C,FIRST,35.1277,1.58e-05,PASS
BA673A,FIRST,32.4992,3.92e-10,PASS
BA673B,FIRST,35.5238,2.64e-09,PASS
BA673C,FIRST,31.0667,2.31e-08,PASS
BA674A,FIRST,45.048,0.00143517,PASS
BA674B,FIRST,34.7045,0.00236378,PASS
BA674C,FIRST,35.9888,0.000244653,PASS
BA675A,FIRST,23.7496,8.59e-08,PASS
BA675B,FIRST,24.705,6.67e-09,PASS
BA675C,FIRST,25.3618,0.00475011,PASS
BA676A,FIRST,30.6486,6.94e-05,PASS
BA676B,FIRST,25.4243,3.47e-05,PASS
BA676C,FIRST,24.1468,2.21e-09,PASS
BA677A,FIRST,24.2693,3.8e-08,PASS
BA677B,FIRST,25.6503,6.01e-05,PASS
BA677C,FIRST,26.8478,2.02e-05,PASS
BA678A,FIRST,24.5208,5.14e-05,PASS
BA678B,FIRST,24.6895,0.000133739,PASS
BA678C,FIRST,24.9266,3.51e-05,PASS
BA679A,FIRST,30.3877,5.84e-05,PASS
BA679B,FIRST,25.7837,3.25e-05,PASS
BA679C,FIRST,33.4891,2.91e-05,PASS
BA680A,FIRST,25.6426,2.38e-05,PASS
BA680B,FIRST,27.3528,8.71e-05,PASS
BA680C,FIRST,26.3071,1.61e-09,PASS
BA681A,FIRST,23.6833,1.83e-08,PASS
BA681B,FIRST,27.0977,2.88e-05,PASS
BA681C,FIRST,25.6292,3.97e-09,PASS
BA684A,FIRST,25.1473,1.46e-05,PASS
BA684B,FIRST,24.486,7.96e-09,PASS
BA684C,FIRST,27.064,1.68e-08,PASS
BA685A,FIRST,41.456,0.002204,PASS
BA685B,FIRST,33.4245,0.00195104,PASS
BA685C,FIRST,37.0265,0.0016807,PASS
BA687A,FIRST,30.7019,4.93e-05,PASS
