ID	质控结果	原因
C694C	通过	通过质控
C696C	通过	通过质控
C697C	通过	通过质控
C698C	通过	通过质控
C699C	通过	通过质控
C69C	通过	通过质控
C6C	通过	通过质控
C702C	通过	通过质控
C704C	通过	通过质控
C705C	通过	通过质控
C706C	通过	通过质控
C708C	通过	通过质控
C710C	通过	通过质控
C712C	通过	通过质控
C713C	通过	通过质控
C714C	通过	通过质控
C715C	通过	通过质控
C716C	通过	通过质控
C717C	通过	通过质控
C718C	通过	通过质控
C719C	通过	通过质控
C720C	通过	通过质控
C721C	通过	通过质控
C722C	通过	通过质控
C723C	通过	通过质控
C724C	通过	通过质控
C725C	通过	通过质控
C726C	通过	通过质控
C727C	通过	通过质控
C728C	通过	通过质控
C729C	通过	通过质控
C72C	通过	通过质控
C730C	通过	通过质控
C731C	通过	通过质控
C732C	不通过	污染率>0.02（最高 0.302548）
C733C	通过	通过质控
C734C	通过	通过质控
C735C	通过	通过质控
C736C	通过	通过质控
C737C	通过	通过质控
C738C	通过	通过质控
C739C	通过	通过质控
C73C	通过	通过质控
C740C	通过	通过质控
C741C	通过	通过质控
C742C	通过	通过质控
C743C	通过	通过质控
C745C	通过	通过质控
C746C	通过	通过质控
C748C	通过	通过质控
C749C	通过	通过质控
C74C	通过	通过质控
C750C	通过	通过质控
C751C	通过	通过质控
C752C	通过	通过质控
C753C	通过	通过质控
C754C	通过	通过质控
C755C	通过	通过质控
C756C	通过	通过质控
C757C	通过	通过质控
C758C	通过	通过质控
C759C	通过	通过质控
C760C	通过	通过质控
C761C	通过	通过质控
C764C	通过	通过质控
C765C	通过	通过质控
C766C	通过	通过质控
C768C	通过	通过质控
C769C	通过	通过质控
C76C	通过	通过质控
C770C	通过	通过质控
C771C	通过	通过质控
C772C	通过	通过质控
C773C	通过	通过质控
C776C	通过	通过质控
C777C	通过	通过质控
C779C	通过	通过质控
C780C	通过	通过质控
C781C	通过	通过质控
C782C	通过	通过质控
C783C	通过	通过质控
C784C	通过	通过质控
C786C	通过	通过质控
C787C	通过	通过质控
C788C	通过	通过质控
C789C	通过	通过质控
C790C	通过	通过质控
C791C	通过	通过质控
C792C	通过	通过质控
C793C	通过	通过质控
C794C	通过	通过质控
C795C	通过	通过质控
C796C	通过	通过质控
C82C	通过	通过质控
C85C	通过	通过质控
C8C	通过	通过质控
CC11A	通过	通过质控
CC11B	通过	通过质控
CC11C	通过	通过质控
CC12A	通过	通过质控
CC12B	通过	通过质控
CC12C	通过	通过质控
CC153A	通过	通过质控
CC153B	通过	通过质控
CC153C	通过	通过质控
CC176A	通过	通过质控
CC176B	通过	通过质控
CC176C	通过	通过质控
CC224A	通过	通过质控
CC224B	通过	通过质控
CC224C	不通过	mtDNA copy number<50（最低 40.923093）
CC267A	通过	通过质控
CC267B	通过	通过质控
CC267C	通过	通过质控
CC279A	通过	通过质控
CC279B	通过	通过质控
CC279C	通过	通过质控
CC280A	通过	通过质控
CC280B	通过	通过质控
CC280C	通过	通过质控
CC283A	通过	通过质控
CC283B	通过	通过质控
CC283C	通过	通过质控
CC285A	通过	通过质控
CC285B	通过	通过质控
CC285C	通过	通过质控
CC288A	通过	通过质控
CC288B	通过	通过质控
CC288C	通过	通过质控
CC289A	通过	通过质控
CC289B	通过	通过质控
CC289C	通过	通过质控
CC42A	通过	通过质控
CC42B	通过	通过质控
CC42C	通过	通过质控
CCAM37A	通过	通过质控
CCAM37C	通过	通过质控
CCAM49A	通过	通过质控
CCAM49B	通过	通过质控
CCAM49C	通过	通过质控
CCAM51A	通过	通过质控
CCAM51B	通过	通过质控
CCAM51C	通过	通过质控
CCAM52A	通过	通过质控
CCAM52B	通过	通过质控
CCAM52C	通过	通过质控
CCAM53A	通过	通过质控
CCAM53B	通过	通过质控
CCAM53C	通过	通过质控
CCAM55A	通过	通过质控
CCAM55B	通过	通过质控
CCAM55C	通过	通过质控
CCMA37B	通过	通过质控
CD_BA10A	通过	通过质控
CD_BA10B	通过	通过质控
CD_BA10C	通过	通过质控
CD_BA11A	通过	通过质控
CD_BA11B	通过	通过质控
CD_BA11C	通过	通过质控
CD_BA12A	通过	通过质控
CD_BA12B	通过	通过质控
CD_BA12C	通过	通过质控
CD_BA13A	通过	通过质控
CD_BA13B	通过	通过质控
CD_BA13C	通过	通过质控
CD_BA14A	通过	通过质控
CD_BA14B	通过	通过质控
CD_BA14C	通过	通过质控
CD_BA15A	通过	通过质控
CD_BA15B	通过	通过质控
CD_BA15C	通过	通过质控
CD_BA16A	通过	通过质控
CD_BA16B	通过	通过质控
CD_BA16C	通过	通过质控
CD_BA17A	通过	通过质控
CD_BA17B	通过	通过质控
CD_BA17C	通过	通过质控
CD_BA1A	通过	通过质控
CD_BA1B	通过	通过质控
CD_BA1C	通过	通过质控
CD_BA2A	通过	通过质控
CD_BA2B	通过	通过质控
CD_BA2C	通过	通过质控
CD_BA3A	通过	通过质控
CD_BA3B	通过	通过质控
CD_BA3C	通过	通过质控
CD_BA4A	通过	通过质控
CD_BA4B	通过	通过质控
CD_BA4C	通过	通过质控
CD_BA5A	通过	通过质控
CD_BA5B	通过	通过质控
CD_BA5C	通过	通过质控
CD_BA6A	通过	通过质控
CD_BA6B	通过	通过质控
CD_BA6C	通过	通过质控
CD_BA7A	通过	通过质控
CD_BA7B	通过	通过质控
CD_BA7C	通过	通过质控
CD_BA8A	通过	通过质控
CD_BA8B	通过	通过质控
CD_BA8C	通过	通过质控
CD_BA9A	通过	通过质控
CD_BA9B	通过	通过质控
CD_BA9C	通过	通过质控
CKN	通过	通过质控
CKN-F	通过	通过质控
CZSA	通过	通过质控
DT2302328760-1	通过	通过质控
DT2302328760_1	通过	通过质控
DT2302328761-1	通过	通过质控
DT2302328761_1	通过	通过质控
DT2302328762-1	通过	通过质控
DT2302328762_1	通过	通过质控
DT2302328763-1	通过	通过质控
DT2302328763_1	通过	通过质控
DT2302328764-1	通过	通过质控
DT2302328764_1	通过	通过质控
DT2302328765-1	通过	通过质控
DT2302328765_1	通过	通过质控
DT2302328770-1	通过	通过质控
DT2302328770_1	通过	通过质控
DT2302328771-1	通过	通过质控
DT2302328771_1	通过	通过质控
DT2302328772-1	通过	通过质控
DT2302328772_1	通过	通过质控
DT2302328773-1	通过	通过质控
DT2302328773_1	通过	通过质控
DT2302328774-1	通过	通过质控
DT2302328774_1	通过	通过质控
DT2302328775-1	通过	通过质控
DT2302328775_1	通过	通过质控
DT2302328776-1	通过	通过质控
DT2302328777-1	通过	通过质控
DT2302328777_1	通过	通过质控
DT2302328778-1	通过	通过质控
DT2302328778_1	通过	通过质控
DT2302328779-1	通过	通过质控
DT2302328779_1	通过	通过质控
E-1	通过	通过质控
E-10	通过	通过质控
E-11	通过	通过质控
E-12	通过	通过质控
E-13	通过	通过质控
E-14	通过	通过质控
E-15	通过	通过质控
E-16	通过	通过质控
E-17	通过	通过质控
E-18	通过	通过质控
E-19	通过	通过质控
E-2	通过	通过质控
E-20	通过	通过质控
E-21	通过	通过质控
E-22	通过	通过质控
E-23	通过	通过质控
E-24	通过	通过质控
E-25	通过	通过质控
E-26	通过	通过质控
E-27	通过	通过质控
E-28	通过	通过质控
E-29	通过	通过质控
E-3	通过	通过质控
E-30	通过	通过质控
E-31	通过	通过质控
E-32	通过	通过质控
E-33	通过	通过质控
E-34	通过	通过质控
E-35	通过	通过质控
E-36	通过	通过质控
E-37	通过	通过质控
E-38	通过	通过质控
E-39	通过	通过质控
E-4	通过	通过质控
E-40	通过	通过质控
E-41	通过	通过质控
E-42	通过	通过质控
E-43	通过	通过质控
E-44	通过	通过质控
E-45	通过	通过质控
E-5	通过	通过质控
E-6	通过	通过质控
E-7	通过	通过质控
E-8	通过	通过质控
E-9	通过	通过质控
E-S24597809551A	通过	通过质控
E-S24807224985A	通过	通过质控
FBJA	通过	通过质控
G1344	不通过	污染率>0.02（最高 0.300097）
G1349	通过	通过质控
G1351	通过	通过质控
G1354	通过	通过质控
G1358	通过	通过质控
G1359	通过	通过质控
G1366	通过	通过质控
G1367	通过	通过质控
G1368	通过	通过质控
G1369	通过	通过质控
G1371	通过	通过质控
G1374	通过	通过质控
G1378	通过	通过质控
G1379	通过	通过质控
G1380	通过	通过质控
G1386	通过	通过质控
G1390	不通过	污染率>0.02（最高 0.239181）
G1396	通过	通过质控
G1397	通过	通过质控
G1402	通过	通过质控
G1403	通过	通过质控
G1405	通过	通过质控
G1406	通过	通过质控
G1410	通过	通过质控
G1412	通过	通过质控
G1413	通过	通过质控
G1418	通过	通过质控
G1419	不通过	污染率>0.02（最高 0.247088）
G1421	通过	通过质控
G1426	通过	通过质控
G1427	通过	通过质控
G1428	通过	通过质控
G1434	通过	通过质控
G1439	通过	通过质控
G1442	通过	通过质控
G1444	通过	通过质控
G1447	通过	通过质控
G1450	通过	通过质控
G1451	通过	通过质控
G1453	通过	通过质控
G1456	通过	通过质控
G1457	通过	通过质控
G1459	通过	通过质控
G1462	通过	通过质控
G1463	通过	通过质控
G1464	通过	通过质控
G1469	通过	通过质控
G1473	通过	通过质控
G1478	通过	通过质控
G1484	通过	通过质控
G1485	通过	通过质控
G1487	通过	通过质控
G1491	通过	通过质控
G1492	通过	通过质控
G1494	通过	通过质控
G1495	通过	通过质控
G1496	通过	通过质控
G1497	通过	通过质控
G1501	通过	通过质控
G1502	不通过	污染率>0.02（最高 0.028875）
G1505	通过	通过质控
G1507	通过	通过质控
G1508	通过	通过质控
G1512	通过	通过质控
G1517	通过	通过质控
G1523	通过	通过质控
G1525	通过	通过质控
G1527	通过	通过质控
G1528	通过	通过质控
G1530	通过	通过质控
G1533	通过	通过质控
G1536	通过	通过质控
G1538	通过	通过质控
G1542	不通过	mtDNA copy number<50（最低 40.751235）
G1543	通过	通过质控
G1545	通过	通过质控
G1546	通过	通过质控
G1547	通过	通过质控
G1550	通过	通过质控
G1552	通过	通过质控
G1557	通过	通过质控
G1558	通过	通过质控
G1559	通过	通过质控
G1560	通过	通过质控
